billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","82542","CPT","['26']"
"professional","82160","CPT","['27']"
"professional","38212","CPT","['U1']"
"institutional","0556","MS-DRG","[]"
"professional","E2390","HCPCS","['NU']"
"professional","00906","CPT","[]"
"professional","K0052","HCPCS","['UE','RR','KE']"
"professional","E0303","HCPCS","['RR']"
"professional","21247","CPT","[]"
"professional","E1028","HCPCS","['NU','KE']"
"professional","88167","CPT","[]"
"professional","90381","CPT","[]"
"professional","87511","CPT","[]"
"institutional","2W3AXYZ","ICD","[]"
"professional","80415","CPT","['TC']"
"professional","L0984","HCPCS","['NU']"
"professional","73630","CPT","['27']"
"professional","61534","CPT","[]"
"professional","97170","CPT","[]"
"professional","41115","CPT","[]"
"professional","J3240","HCPCS","[]"
"institutional","0D767DZ","ICD","[]"
"institutional","64907","CPT","[]"
"institutional","64913","CPT","[]"
"institutional","69420","CPT","[]"
"institutional","33611","CPT","[]"
"professional","27880","CPT","['U1']"
"professional","45338","CPT","['U1']"
"professional","E0666","HCPCS","['UE']"
"professional","82805","CPT","['27']"
"professional","31626","CPT","[]"
"institutional","64719","CPT","[]"
"professional","E1003","HCPCS","['RR','UE','KE']"
"professional","66989","CPT","[]"
"professional","K0001","HCPCS","['KH']"
"professional","46712","CPT","['U1']"
"professional","52400","CPT","['U1']"
"professional","E1195","HCPCS","['KH']"
"professional","92953","CPT","[]"
"professional","86800","CPT","[]"
"professional","25608","CPT","[]"
"professional","32098","CPT","[]"
"institutional","0883T","CPT","[]"
"professional","50525","CPT","[]"
"professional","G9487","HCPCS","[]"
"professional","78813","CPT","['TC']"
"professional","54300","CPT","['U1']"
"institutional","31610","CPT","[]"
"professional","0649T","CPT","[]"
"professional","0044U","CPT","[]"
"professional","K0046","HCPCS","[]"
"professional","0090U","CPT","[]"
"institutional","31638","CPT","[]"
"professional","K0040","HCPCS","['UE']"
"professional","J3475","HCPCS","[]"
"professional","S0508","HCPCS","[]"
"professional","27334","CPT","['U1']"
"professional","0166U","CPT","[]"
"professional","85303","CPT","['27']"
"professional","J9223","HCPCS","[]"
"institutional","23410","CPT","[]"
"professional","99406","CPT","['95']"
"professional","E0266","HCPCS","[]"
"professional","73650","CPT","['U1']"
"professional","J0166","HCPCS","[]"
"professional","42970","CPT","['U1']"
"professional","K0852","HCPCS","[]"
"professional","99469","CPT","['G0']"
"professional","83021","CPT","['26']"
"professional","96121","CPT","[]"
"professional","24650","CPT","['U1']"
"professional","84600","CPT","['U1']"
"professional","51705","CPT","[]"
"professional","36600","CPT","['26']"
"professional","86340","CPT","['TC']"
"institutional","0514","MS-DRG","[]"
"professional","74174","CPT","['TC']"
"professional","96041","CPT","['G0']"
"professional","E0113","HCPCS","['NU']"
"professional","20102","CPT","['U1']"
"professional","82135","CPT","['27']"
"professional","A7506","HCPCS","['NU']"
"professional","79440","CPT","['TC']"
"professional","96160","CPT","['95']"
"professional","82384","CPT","['U1']"
"professional","12056","CPT","[]"
"professional","36217","CPT","['U1']"
"institutional","44021","CPT","[]"
"institutional","49324","CPT","[]"
"professional","86652","CPT","['U1']"
"institutional","13101","CPT","[]"
"professional","E2375","HCPCS","['NU','UE','KE']"
"institutional","49421","CPT","[]"
"institutional","0291","RC","[]"
