billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,81381,CPT,['TC'],ALLOW,ok,
professional,99469,CPT,[],ALLOW,ok,
professional,E0160,HCPCS,['NU'],ALLOW,ok,
professional,24516,CPT,[],ALLOW,ok,
professional,91037,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,87552,CPT,[],ALLOW,ok,
professional,99345,CPT,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,93050,CPT,['U1'],ALLOW,ok,
professional,81000,CPT,['26'],ALLOW,ok,
professional,82240,CPT,[],ALLOW,ok,
professional,23415,CPT,['U1'],ALLOW,ok,
professional,J1096,HCPCS,[],ALLOW,ok,
professional,87481,CPT,['TC'],ALLOW,ok,
institutional,PLMR,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,G0011,HCPCS,['95'],ALLOW,ok,
professional,V5265,HCPCS,[],ALLOW,ok,
professional,95990,CPT,[],ALLOW,ok,
professional,70336,CPT,[],ALLOW,ok,
professional,74415,CPT,['U1'],ALLOW,ok,
professional,31287,CPT,[],ALLOW,ok,
professional,0029U,CPT,[],ALLOW,ok,
professional,0624T,CPT,[],ALLOW,ok,
professional,92961,CPT,['26'],ALLOW,ok,
professional,43425,CPT,['U1'],ALLOW,ok,
institutional,57111,CPT,[],ALLOW,ok,
professional,J3031,HCPCS,[],ALLOW,ok,
professional,E0735,HCPCS,['UE'],ALLOW,ok,
professional,E0187,HCPCS,['KI'],ALLOW,ok,
professional,E0970,HCPCS,['NU'],ALLOW,ok,
professional,11641,CPT,['U1'],ALLOW,ok,
institutional,57105,CPT,[],ALLOW,ok,
professional,L1600,HCPCS,['NU'],ALLOW,ok,
professional,K0858,HCPCS,['KJ'],ALLOW,ok,
professional,77525,CPT,[],ALLOW,ok,
institutional,37237,CPT,[],ALLOW,ok,
professional,E1087,HCPCS,['UE'],ALLOW,ok,
professional,80341,CPT,[],ALLOW,ok,
professional,S9209,HCPCS,[],ALLOW,ok,
institutional,0727,MS-DRG,[],ALLOW,ok,
professional,76705,CPT,[],ALLOW,ok,
professional,33928,CPT,[],ALLOW,ok,
institutional,25023,CPT,[],ALLOW,ok,
professional,84311,CPT,['26'],ALLOW,ok,
professional,33468,CPT,[],ALLOW,ok,
professional,58572,CPT,[],ALLOW,ok,
professional,81161,CPT,[],ALLOW,ok,
